titik_sampel;lintang_selatan;bujur_timur;jenis_parameter;parameter;baku_mutu;hasil_pengukuran;periode_data;periode_pemantauan;bulan_sampling;nama_sungai;alamat
ANK-2;-6,158863;106,763746;FIsika;TSS;50;42;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;pH;6-9;7,61;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;BOD;3;27,53;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;COD;25;144;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;DO;4;0,75;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Nitrat;10;0,539;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Nitrit;0,06;0,01;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Total P;0,2;1,45;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;F;1,5;0,26;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;H2S;0,002;0,019;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Klorin Bebas;0,03;0,485;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Hg;0,002;0,0003;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cd;0,01;0,0059;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Zn;0,05;0,0069;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cu;0,02;0,009;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Pb;0,03;0,019;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cr6+;0,05;0,0029;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Minyak dan Lemak;1;0,539;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;MBAS;0,2;0,05;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Fenol;0,005;0,003;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Biologi;Total Coliform;5000;3500000;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Biologi;Fecal Coliform;1000;2200000;2023;Periode 1 (Musim Hujan);2;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Fisika;TDS;1000;311;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;FIsika;TSS;50;22;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;pH;6-9;7,155;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;BOD;3;12,11;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;COD;25;62;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;DO;4;1,495;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Nitrat;10;0,539;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Nitrit;0,06;0,02;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Total P;0,2;1,3;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;F;1,5;0,61;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;H2S;0,002;0,002;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Klorin Bebas;0,03;0,05;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Hg;0,002;0,0005;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cd;0,01;0,0059;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Zn;0,05;0,0069;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cu;0,02;0,009;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Pb;0,03;0,019;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cr6+;0,05;0,0029;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Minyak dan Lemak;1;0,539;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;MBAS;0,2;0,12;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Fenol;0,005;0,0013;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Biologi;Total Coliform;5000;1100000;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Biologi;Fecal Coliform;1000;900000;2023;Periode 2 (Musim Peralihan);5;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Fisika;TDS;1000;374,2;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;FIsika;TSS;50;7;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;pH;6-9;7,24;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;BOD;3;16,31;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;COD;25;171;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;DO;4;0,8;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Nitrat;10;1,4;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Nitrit;0,06;0,09;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Total P;0,2;1,89;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;F;1,5;0,31;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
